    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.95-1 , Train Loss: 0.4436, Train Accuracy: 82.07, Validation Loss: 0.2830, Validation Accuracy: 91.05%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0-1 , Train Loss: 0.0023, Train Accuracy: 95.71, Validation Loss: 0.0480, Validation Accuracy: 97.97%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.3-1 , Train Loss: 0.0057, Train Accuracy: 95.08, Validation Loss: 0.0531, Validation Accuracy: 97.69%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.5-1 , Train Loss: 0.0102, Train Accuracy: 94.36, Validation Loss: 0.0552, Validation Accuracy: 97.80%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.7-1 , Train Loss: 0.0255, Train Accuracy: 93.48, Validation Loss: 0.0850, Validation Accuracy: 96.30%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.8-1 , Train Loss: 0.0538, Train Accuracy: 92.00, Validation Loss: 0.1027, Validation Accuracy: 95.10%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.9-1 , Train Loss: 0.2390, Train Accuracy: 89.47, Validation Loss: 0.1415, Validation Accuracy: 93.11%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.95-1 , Train Loss: 0.3383, Train Accuracy: 84.13, Validation Loss: 0.2831, Validation Accuracy: 83.66%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0-1 , Train Loss: 0.0033, Train Accuracy: 95.68, Validation Loss: 0.0666, Validation Accuracy: 97.87%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.3-1 , Train Loss: 0.0092, Train Accuracy: 94.76, Validation Loss: 0.0797, Validation Accuracy: 97.55%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.5-1 , Train Loss: 0.0141, Train Accuracy: 94.17, Validation Loss: 0.0960, Validation Accuracy: 97.10%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.7-1 , Train Loss: 0.0447, Train Accuracy: 92.66, Validation Loss: 0.1180, Validation Accuracy: 96.36%
