    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.9-2 , Train Loss: 0.3475, Train Accuracy: 87.41, Validation Loss: 0.5752, Validation Accuracy: 84.23%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.95-2 , Train Loss: 0.4697, Train Accuracy: 82.27, Validation Loss: 0.7574, Validation Accuracy: 82.17%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0-2 , Train Loss: 0.0029, Train Accuracy: 95.88, Validation Loss: 0.0555, Validation Accuracy: 97.63%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.3-2 , Train Loss: 0.0061, Train Accuracy: 95.30, Validation Loss: 0.0776, Validation Accuracy: 96.20%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.5-2 , Train Loss: 0.0105, Train Accuracy: 94.43, Validation Loss: 0.0865, Validation Accuracy: 95.57%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.7-2 , Train Loss: 0.0284, Train Accuracy: 92.86, Validation Loss: 0.1143, Validation Accuracy: 94.06%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.8-2 , Train Loss: 0.0562, Train Accuracy: 91.92, Validation Loss: 0.1571, Validation Accuracy: 91.45%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.9-2 , Train Loss: 0.2459, Train Accuracy: 88.63, Validation Loss: 0.1502, Validation Accuracy: 92.47%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.95-2 , Train Loss: 0.3401, Train Accuracy: 83.53, Validation Loss: 0.2734, Validation Accuracy: 84.20%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0-2 , Train Loss: 0.0025, Train Accuracy: 95.71, Validation Loss: 0.0457, Validation Accuracy: 98.47%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.3-2 , Train Loss: 0.0095, Train Accuracy: 94.78, Validation Loss: 0.0578, Validation Accuracy: 98.34%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.5-2 , Train Loss: 0.0173, Train Accuracy: 94.01, Validation Loss: 0.1089, Validation Accuracy: 96.66%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.7-2 , Train Loss: 0.0462, Train Accuracy: 92.41, Validation Loss: 0.0827, Validation Accuracy: 97.47%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.8-2 , Train Loss: 0.0888, Train Accuracy: 90.16, Validation Loss: 0.1900, Validation Accuracy: 94.05%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.9-2 , Train Loss: 0.3540, Train Accuracy: 87.25, Validation Loss: 0.2854, Validation Accuracy: 91.34%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.95-2 , Train Loss: 0.4860, Train Accuracy: 81.37, Validation Loss: 0.6525, Validation Accuracy: 81.73%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0-2 , Train Loss: 0.0025, Train Accuracy: 95.77, Validation Loss: 0.0489, Validation Accuracy: 97.94%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3-2 , Train Loss: 0.0061, Train Accuracy: 94.87, Validation Loss: 0.0487, Validation Accuracy: 98.06%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5-2 , Train Loss: 0.0108, Train Accuracy: 94.26, Validation Loss: 0.1006, Validation Accuracy: 94.76%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7-2 , Train Loss: 0.0267, Train Accuracy: 93.29, Validation Loss: 0.0765, Validation Accuracy: 96.50%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8-2 , Train Loss: 0.0546, Train Accuracy: 91.55, Validation Loss: 0.0967, Validation Accuracy: 95.65%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9-2 , Train Loss: 0.2478, Train Accuracy: 88.83, Validation Loss: 0.1549, Validation Accuracy: 93.00%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95-2 , Train Loss: 0.3405, Train Accuracy: 83.33, Validation Loss: 0.1815, Validation Accuracy: 92.30%
    MODEL:resnet18_MNIST_Evidence_3 , Train Loss: 0.0022, Train Accuracy: 95.94, Validation Loss: 0.0431, Validation Accuracy: 98.34%
    MODEL:resnet18_MNIST_3 , Train Loss: 0.0024, Train Accuracy: 95.79, Validation Loss: 0.0750, Validation Accuracy: 96.35%
    MODEL:resnet18-MNIST-random-0-3 , Train Loss: 0.0032, Train Accuracy: 95.49, Validation Loss: 0.1351, Validation Accuracy: 96.03%
    MODEL:resnet18-MNIST-random-0.3-3 , Train Loss: 0.0100, Train Accuracy: 94.79, Validation Loss: 0.1085, Validation Accuracy: 96.58%
    MODEL:resnet18-MNIST-random-0.5-3 , Train Loss: 0.0182, Train Accuracy: 93.81, Validation Loss: 0.1455, Validation Accuracy: 95.38%
    MODEL:resnet18-MNIST-random-0.7-3 , Train Loss: 0.0431, Train Accuracy: 92.09, Validation Loss: 0.1560, Validation Accuracy: 95.17%
    MODEL:resnet18-MNIST-random-0.8-3 , Train Loss: 0.0808, Train Accuracy: 91.05, Validation Loss: 0.2137, Validation Accuracy: 93.85%
    MODEL:resnet18-MNIST-random-0.9-3 , Train Loss: 0.3233, Train Accuracy: 88.40, Validation Loss: 0.6923, Validation Accuracy: 83.67%
    MODEL:resnet18-MNIST-random-0.95-3 , Train Loss: 0.4500, Train Accuracy: 82.90, Validation Loss: 0.7988, Validation Accuracy: 75.79%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0-3 , Train Loss: 0.0026, Train Accuracy: 95.85, Validation Loss: 0.0533, Validation Accuracy: 97.77%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.3-3 , Train Loss: 0.0059, Train Accuracy: 95.23, Validation Loss: 0.0765, Validation Accuracy: 96.13%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.5-3 , Train Loss: 0.0114, Train Accuracy: 94.31, Validation Loss: 0.0537, Validation Accuracy: 97.86%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.7-3 , Train Loss: 0.0272, Train Accuracy: 93.26, Validation Loss: 0.0926, Validation Accuracy: 95.49%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.8-3 , Train Loss: 0.0486, Train Accuracy: 92.21, Validation Loss: 0.1243, Validation Accuracy: 93.61%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.9-3 , Train Loss: 0.2432, Train Accuracy: 88.96, Validation Loss: 0.1110, Validation Accuracy: 95.53%
    MODEL:resnet18-EvidenceLoss-MNIST-random-0.95-3 , Train Loss: 0.3293, Train Accuracy: 85.23, Validation Loss: 0.1895, Validation Accuracy: 91.76%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0-3 , Train Loss: 0.0038, Train Accuracy: 95.48, Validation Loss: 0.0687, Validation Accuracy: 97.83%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-3 , Train Loss: 0.0091, Train Accuracy: 94.85, Validation Loss: 0.0770, Validation Accuracy: 97.76%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-3 , Train Loss: 0.0135, Train Accuracy: 94.14, Validation Loss: 0.1148, Validation Accuracy: 96.65%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-3 , Train Loss: 0.0328, Train Accuracy: 92.63, Validation Loss: 0.2561, Validation Accuracy: 92.12%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-3 , Train Loss: 0.0876, Train Accuracy: 90.98, Validation Loss: 0.1596, Validation Accuracy: 95.00%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-3 , Train Loss: 0.3356, Train Accuracy: 87.88, Validation Loss: 0.1543, Validation Accuracy: 95.24%
    MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-3 , Train Loss: 0.4588, Train Accuracy: 82.40, Validation Loss: 0.4587, Validation Accuracy: 86.45%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0-3 , Train Loss: 0.0022, Train Accuracy: 95.77, Validation Loss: 0.0606, Validation Accuracy: 97.36%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.3-3 , Train Loss: 0.0053, Train Accuracy: 95.23, Validation Loss: 0.0480, Validation Accuracy: 98.13%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.5-3 , Train Loss: 0.0101, Train Accuracy: 94.45, Validation Loss: 0.0630, Validation Accuracy: 97.19%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.7-3 , Train Loss: 0.0266, Train Accuracy: 93.60, Validation Loss: 0.0817, Validation Accuracy: 96.29%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.8-3 , Train Loss: 0.0510, Train Accuracy: 92.12, Validation Loss: 0.1074, Validation Accuracy: 94.63%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.9-3 , Train Loss: 0.2529, Train Accuracy: 88.31, Validation Loss: 0.2141, Validation Accuracy: 87.92%
    MODEL:resnet18-EvidenceLoss-MNIST-predictive_entropy-balanced_by_score-0.95-3 , Train Loss: 0.3345, Train Accuracy: 84.30, Validation Loss: 0.1883, Validation Accuracy: 91.33%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0-3 , Train Loss: 0.0024, Train Accuracy: 95.54, Validation Loss: 0.0462, Validation Accuracy: 98.61%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.3-3 , Train Loss: 0.0091, Train Accuracy: 94.89, Validation Loss: 0.0962, Validation Accuracy: 97.14%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.5-3 , Train Loss: 0.0172, Train Accuracy: 94.18, Validation Loss: 0.1147, Validation Accuracy: 96.45%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.7-3 , Train Loss: 0.0361, Train Accuracy: 92.74, Validation Loss: 0.0922, Validation Accuracy: 97.01%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.8-3 , Train Loss: 0.0867, Train Accuracy: 90.67, Validation Loss: 0.2157, Validation Accuracy: 93.11%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.9-3 , Train Loss: 0.3444, Train Accuracy: 87.58, Validation Loss: 0.5440, Validation Accuracy: 84.88%
    MODEL:resnet18-MNIST-evidence_label-balanced_by_score-0.95-3 , Train Loss: 0.4649, Train Accuracy: 82.00, Validation Loss: 0.8318, Validation Accuracy: 77.32%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0-3 , Train Loss: 0.0027, Train Accuracy: 95.79, Validation Loss: 0.0641, Validation Accuracy: 96.97%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.3-3 , Train Loss: 0.0063, Train Accuracy: 94.99, Validation Loss: 0.0630, Validation Accuracy: 97.08%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.5-3 , Train Loss: 0.0106, Train Accuracy: 94.64, Validation Loss: 0.1035, Validation Accuracy: 94.18%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.7-3 , Train Loss: 0.0269, Train Accuracy: 93.20, Validation Loss: 0.0816, Validation Accuracy: 96.15%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.8-3 , Train Loss: 0.0520, Train Accuracy: 92.14, Validation Loss: 0.1087, Validation Accuracy: 95.08%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.9-3 , Train Loss: 0.2498, Train Accuracy: 89.05, Validation Loss: 0.1740, Validation Accuracy: 90.92%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.95-3 , Train Loss: 0.3361, Train Accuracy: 83.60, Validation Loss: 0.2162, Validation Accuracy: 89.34%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0-3 , Train Loss: 0.0038, Train Accuracy: 95.73, Validation Loss: 0.0676, Validation Accuracy: 97.72%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.3-3 , Train Loss: 0.0096, Train Accuracy: 94.99, Validation Loss: 0.0759, Validation Accuracy: 97.64%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.5-3 , Train Loss: 0.0145, Train Accuracy: 94.12, Validation Loss: 0.0880, Validation Accuracy: 97.22%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.7-3 , Train Loss: 0.0385, Train Accuracy: 92.46, Validation Loss: 0.1889, Validation Accuracy: 94.03%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.8-3 , Train Loss: 0.0816, Train Accuracy: 91.34, Validation Loss: 0.1411, Validation Accuracy: 95.45%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.9-3 , Train Loss: 0.3335, Train Accuracy: 87.95, Validation Loss: 0.2834, Validation Accuracy: 90.55%
    MODEL:resnet18-MNIST-evidence_total-balanced_by_score-0.95-3 , Train Loss: 0.4471, Train Accuracy: 82.50, Validation Loss: 0.4632, Validation Accuracy: 85.89%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0-3 , Train Loss: 0.0019, Train Accuracy: 95.73, Validation Loss: 0.0526, Validation Accuracy: 97.76%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.3-3 , Train Loss: 0.0058, Train Accuracy: 94.89, Validation Loss: 0.0738, Validation Accuracy: 96.38%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.5-3 , Train Loss: 0.0113, Train Accuracy: 94.61, Validation Loss: 0.0865, Validation Accuracy: 95.76%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.7-3 , Train Loss: 0.0275, Train Accuracy: 93.13, Validation Loss: 0.0632, Validation Accuracy: 97.58%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.8-3 , Train Loss: 0.0506, Train Accuracy: 91.98, Validation Loss: 0.0770, Validation Accuracy: 96.86%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.9-3 , Train Loss: 0.2471, Train Accuracy: 88.78, Validation Loss: 0.1261, Validation Accuracy: 94.26%
    MODEL:resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.95-3 , Train Loss: 0.3302, Train Accuracy: 84.73, Validation Loss: 0.2519, Validation Accuracy: 86.35%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0-3 , Train Loss: 0.0029, Train Accuracy: 95.65, Validation Loss: 0.0727, Validation Accuracy: 97.68%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.3-3 , Train Loss: 0.0071, Train Accuracy: 94.87, Validation Loss: 0.0703, Validation Accuracy: 97.85%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.5-3 , Train Loss: 0.0145, Train Accuracy: 93.90, Validation Loss: 0.2212, Validation Accuracy: 93.04%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.7-3 , Train Loss: 0.0412, Train Accuracy: 92.46, Validation Loss: 0.1718, Validation Accuracy: 94.69%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.8-3 , Train Loss: 0.0783, Train Accuracy: 91.11, Validation Loss: 0.2006, Validation Accuracy: 93.82%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.9-3 , Train Loss: 0.3488, Train Accuracy: 87.78, Validation Loss: 0.3399, Validation Accuracy: 89.72%
    MODEL:resnet18-MNIST-uncertainty_label-balanced_by_score-0.95-3 , Train Loss: 0.4468, Train Accuracy: 82.20, Validation Loss: 0.3191, Validation Accuracy: 90.01%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0-3 , Train Loss: 0.0024, Train Accuracy: 95.84, Validation Loss: 0.0788, Validation Accuracy: 95.95%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.3-3 , Train Loss: 0.0057, Train Accuracy: 95.21, Validation Loss: 0.0602, Validation Accuracy: 97.30%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.5-3 , Train Loss: 0.0113, Train Accuracy: 94.65, Validation Loss: 0.0598, Validation Accuracy: 97.56%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.7-3 , Train Loss: 0.0278, Train Accuracy: 93.11, Validation Loss: 0.0838, Validation Accuracy: 96.11%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.8-3 , Train Loss: 0.0535, Train Accuracy: 91.58, Validation Loss: 0.0925, Validation Accuracy: 96.02%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.9-3 , Train Loss: 0.2373, Train Accuracy: 89.66, Validation Loss: 0.1515, Validation Accuracy: 92.16%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.95-3 , Train Loss: 0.3335, Train Accuracy: 85.40, Validation Loss: 0.2593, Validation Accuracy: 86.72%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0-3 , Train Loss: 0.0031, Train Accuracy: 95.62, Validation Loss: 0.0675, Validation Accuracy: 97.74%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.3-3 , Train Loss: 0.0077, Train Accuracy: 94.92, Validation Loss: 0.0872, Validation Accuracy: 97.50%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.5-3 , Train Loss: 0.0153, Train Accuracy: 94.34, Validation Loss: 0.1117, Validation Accuracy: 96.49%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.7-3 , Train Loss: 0.0449, Train Accuracy: 92.51, Validation Loss: 0.1230, Validation Accuracy: 96.09%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.8-3 , Train Loss: 0.0804, Train Accuracy: 90.83, Validation Loss: 0.2460, Validation Accuracy: 92.16%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.9-3 , Train Loss: 0.3478, Train Accuracy: 87.44, Validation Loss: 0.4144, Validation Accuracy: 87.22%
    MODEL:resnet18-MNIST-uncertainty_total-balanced_by_score-0.95-3 , Train Loss: 0.4387, Train Accuracy: 82.80, Validation Loss: 1.0617, Validation Accuracy: 72.43%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0-3 , Train Loss: 0.0024, Train Accuracy: 95.98, Validation Loss: 0.0571, Validation Accuracy: 97.33%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3-3 , Train Loss: 0.0055, Train Accuracy: 95.20, Validation Loss: 0.0617, Validation Accuracy: 97.07%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5-3 , Train Loss: 0.0107, Train Accuracy: 94.40, Validation Loss: 0.0686, Validation Accuracy: 96.98%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7-3 , Train Loss: 0.0247, Train Accuracy: 93.42, Validation Loss: 0.1287, Validation Accuracy: 93.08%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8-3 , Train Loss: 0.0529, Train Accuracy: 91.85, Validation Loss: 0.1581, Validation Accuracy: 91.03%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9-3 , Train Loss: 0.2474, Train Accuracy: 88.49, Validation Loss: 0.2697, Validation Accuracy: 84.13%
    MODEL:resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95-3 , Train Loss: 0.3311, Train Accuracy: 85.23, Validation Loss: 0.2711, Validation Accuracy: 84.29%





MODEL:resnet18_CIFAR10_20 , Train Loss: 0.0164, Train Accuracy: 91.79, Validation Loss: 0.3669, Validation Accuracy: 75.97%
MODEL:resnet18_CIFAR10_20 , Train Loss: 0.0115, Train Accuracy: 94.48, Validation Loss: 0.3965, Validation Accuracy: 74.84%
MODEL:resnet18_CIFAR10_Evidence_1 , Train Loss: 0.0071, Train Accuracy: 96.49, Validation Loss: 0.4117, Validation Accuracy: 74.27%
MODEL:resnet18_CIFAR10_1 , Train Loss: 0.0087, Train Accuracy: 96.47, Validation Loss: 0.3819, Validation Accuracy: 76.38%

MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0058, Train Accuracy: 98.17, Validation Loss: 1.2125, Validation Accuracy: 74.81%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0059, Train Accuracy: 98.01, Validation Loss: 1.4420, Validation Accuracy: 70.36%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0152, Train Accuracy: 98.36, Validation Loss: 1.6032, Validation Accuracy: 68.29%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.7-1 , Train Loss: 0.0055, Train Accuracy: 98.35, Validation Loss: 1.8244, Validation Accuracy: 64.61%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.8-1 , Train Loss: 0.0229, Train Accuracy: 98.33, Validation Loss: 2.1955, Validation Accuracy: 58.25%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.9-1 , Train Loss: 0.0553, Train Accuracy: 98.02, Validation Loss: 2.6683, Validation Accuracy: 51.15%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score-0.95-1 , Train Loss: 0.2523, Train Accuracy: 92.84, Validation Loss: 2.5826, Validation Accuracy: 45.20%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0-1 , Train Loss: 0.0080, Train Accuracy: 96.26, Validation Loss: 0.3837, Validation Accuracy: 75.89%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.3-1 , Train Loss: 0.0061, Train Accuracy: 96.79, Validation Loss: 0.4514, Validation Accuracy: 72.16%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.5-1 , Train Loss: 0.0157, Train Accuracy: 97.09, Validation Loss: 0.4655, Validation Accuracy: 70.75%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.7-1 , Train Loss: 0.0103, Train Accuracy: 96.99, Validation Loss: 0.5550, Validation Accuracy: 64.55%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.8-1 , Train Loss: 0.0200, Train Accuracy: 96.98, Validation Loss: 0.6483, Validation Accuracy: 58.04%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.9-1 , Train Loss: 0.0554, Train Accuracy: 97.31, Validation Loss: 0.7328, Validation Accuracy: 51.89%
MODEL:resnet18-EvidenceLoss-CIFAR10-predictive_entropy-balanced_by_score-0.95-1 , Train Loss: 0.0553, Train Accuracy: 98.12, Validation Loss: 0.7887, Validation Accuracy: 46.45%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0-1 , Train Loss: 0.0060, Train Accuracy: 98.20, Validation Loss: 1.2224, Validation Accuracy: 75.43%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.3-1 , Train Loss: 0.0068, Train Accuracy: 98.14, Validation Loss: 1.4428, Validation Accuracy: 71.32%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.5-1 , Train Loss: 0.0119, Train Accuracy: 98.38, Validation Loss: 1.5824, Validation Accuracy: 68.34%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.7-1 , Train Loss: 0.0078, Train Accuracy: 98.58, Validation Loss: 1.9128, Validation Accuracy: 64.30%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.8-1 , Train Loss: 0.0122, Train Accuracy: 99.05, Validation Loss: 2.2578, Validation Accuracy: 59.09%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.9-1 , Train Loss: 0.0619, Train Accuracy: 97.86, Validation Loss: 2.6295, Validation Accuracy: 51.79%
MODEL:resnet18-CIFAR10-evidence_total-balanced_by_score-0.95-1 , Train Loss: 0.2234, Train Accuracy: 93.56, Validation Loss: 2.7497, Validation Accuracy: 45.35%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0-1 , Train Loss: 0.0086, Train Accuracy: 96.07, Validation Loss: 0.4090, Validation Accuracy: 74.23%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.3-1 , Train Loss: 0.0054, Train Accuracy: 96.71, Validation Loss: 0.4547, Validation Accuracy: 71.62%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.5-1 , Train Loss: 0.0155, Train Accuracy: 96.67, Validation Loss: 0.4903, Validation Accuracy: 69.05%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.7-1 , Train Loss: 0.0110, Train Accuracy: 96.65, Validation Loss: 0.5663, Validation Accuracy: 63.78%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.8-1 , Train Loss: 0.0255, Train Accuracy: 97.21, Validation Loss: 0.6304, Validation Accuracy: 59.73%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.9-1 , Train Loss: 0.0632, Train Accuracy: 97.06, Validation Loss: 0.7228, Validation Accuracy: 52.69%
MODEL:resnet18-EvidenceLoss-CIFAR10-evidence_total-balanced_by_score-0.95-1 , Train Loss: 0.1312, Train Accuracy: 93.00, Validation Loss: 0.8529, Validation Accuracy: 41.96%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0-1 , Train Loss: 0.0060, Train Accuracy: 98.15, Validation Loss: 1.2071, Validation Accuracy: 75.49%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.3-1 , Train Loss: 0.0057, Train Accuracy: 98.32, Validation Loss: 1.3784, Validation Accuracy: 72.35%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.5-1 , Train Loss: 0.0151, Train Accuracy: 98.19, Validation Loss: 1.6026, Validation Accuracy: 68.72%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.7-1 , Train Loss: 0.0126, Train Accuracy: 98.11, Validation Loss: 1.9060, Validation Accuracy: 63.09%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.8-1 , Train Loss: 0.0290, Train Accuracy: 96.92, Validation Loss: 2.2604, Validation Accuracy: 57.84%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.9-1 , Train Loss: 0.0285, Train Accuracy: 99.02, Validation Loss: 2.5338, Validation Accuracy: 52.12%
MODEL:resnet18-CIFAR10-uncertainty_total-balanced_by_score-0.95-1 , Train Loss: 0.0859, Train Accuracy: 97.64, Validation Loss: 2.8114, Validation Accuracy: 45.17%





MODEL:resnet18-EvidenceLoss-CIFAR10-uncertainty_total-balanced_by_score-0-1 , Train Loss: 0.0091, Train Accuracy: 96.25, Validation Loss: 0.4191, Validation Accuracy: 73.67%
