MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-2 , Train Loss: 0.0057, Train Accuracy: 95.20, Validation Loss: 0.0507, Validation Accuracy: 98.05%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-2 , Train Loss: 0.0112, Train Accuracy: 94.61, Validation Loss: 0.0632, Validation Accuracy: 97.51%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-2 , Train Loss: 0.0298, Train Accuracy: 92.58, Validation Loss: 0.0846, Validation Accuracy: 96.97%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-2 , Train Loss: 0.0621, Train Accuracy: 90.92, Validation Loss: 0.1205, Validation Accuracy: 94.84%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-2 , Train Loss: 0.2836, Train Accuracy: 88.83, Validation Loss: 0.1332, Validation Accuracy: 95.51%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-2 , Train Loss: 0.3936, Train Accuracy: 82.80, Validation Loss: 0.2127, Validation Accuracy: 92.72%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-3 , Train Loss: 0.0059, Train Accuracy: 95.39, Validation Loss: 0.0564, Validation Accuracy: 97.70%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-3 , Train Loss: 0.0118, Train Accuracy: 94.18, Validation Loss: 0.0761, Validation Accuracy: 96.67%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-3 , Train Loss: 0.0285, Train Accuracy: 93.39, Validation Loss: 0.0781, Validation Accuracy: 96.99%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-3 , Train Loss: 0.0599, Train Accuracy: 91.27, Validation Loss: 0.1245, Validation Accuracy: 94.06%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-3 , Train Loss: 0.2903, Train Accuracy: 87.81, Validation Loss: 0.1933, Validation Accuracy: 90.94%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-3 , Train Loss: 0.3879, Train Accuracy: 83.30, Validation Loss: 0.2116, Validation Accuracy: 92.93%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-3 , Train Loss: 0.0059, Train Accuracy: 95.14, Validation Loss: 0.0606, Validation Accuracy: 97.42%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-3 , Train Loss: 0.0114, Train Accuracy: 94.33, Validation Loss: 0.0693, Validation Accuracy: 97.12%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-3 , Train Loss: 0.0289, Train Accuracy: 92.93, Validation Loss: 0.0804, Validation Accuracy: 97.06%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-3 , Train Loss: 0.0576, Train Accuracy: 91.69, Validation Loss: 0.1024, Validation Accuracy: 95.87%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-3 , Train Loss: 0.2847, Train Accuracy: 88.83, Validation Loss: 0.1517, Validation Accuracy: 94.28%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.95-3 , Train Loss: 0.4062, Train Accuracy: 80.80, Validation Loss: 0.2401, Validation Accuracy: 90.88%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.3-1 , Train Loss: 0.0510, Train Accuracy: 48.31, Validation Loss: 0.7273, Validation Accuracy: 42.45%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.5-1 , Train Loss: 0.1474, Train Accuracy: 45.16, Validation Loss: 0.8522, Validation Accuracy: 33.58%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.7-1 , Train Loss: 0.1004, Train Accuracy: 42.23, Validation Loss: 0.7350, Validation Accuracy: 42.58%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.8-1 , Train Loss: 0.2638, Train Accuracy: 38.98, Validation Loss: 0.7738, Validation Accuracy: 38.13%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.9-1 , Train Loss: 0.8057, Train Accuracy: 34.35, Validation Loss: 0.7620, Validation Accuracy: 39.13%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.95-1 , Train Loss: 0.8403, Train Accuracy: 29.24, Validation Loss: 0.8918, Validation Accuracy: 21.10%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.3-1 , Train Loss: 0.0516, Train Accuracy: 47.97, Validation Loss: 0.6437, Validation Accuracy: 50.49%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.5-1 , Train Loss: 0.1465, Train Accuracy: 45.78, Validation Loss: 0.6778, Validation Accuracy: 47.30%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.7-1 , Train Loss: 0.1030, Train Accuracy: 42.19, Validation Loss: 0.7442, Validation Accuracy: 41.15%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.8-1 , Train Loss: 0.2547, Train Accuracy: 39.98, Validation Loss: 0.7715, Validation Accuracy: 37.22%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.9-1 , Train Loss: 0.8051, Train Accuracy: 34.45, Validation Loss: 0.8491, Validation Accuracy: 29.97%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.95-1 , Train Loss: 0.8476, Train Accuracy: 29.88, Validation Loss: 0.9174, Validation Accuracy: 19.40%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.3-2 , Train Loss: 0.0517, Train Accuracy: 47.60, Validation Loss: 0.6699, Validation Accuracy: 49.79%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.5-2 , Train Loss: 0.1474, Train Accuracy: 45.83, Validation Loss: 0.7897, Validation Accuracy: 39.63%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.7-2 , Train Loss: 0.1016, Train Accuracy: 41.33, Validation Loss: 0.7757, Validation Accuracy: 39.81%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.8-2 , Train Loss: 0.2630, Train Accuracy: 38.15, Validation Loss: 0.7582, Validation Accuracy: 40.30%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.9-2 , Train Loss: 0.8064, Train Accuracy: 33.71, Validation Loss: 0.7924, Validation Accuracy: 35.77%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.95-2 , Train Loss: 0.8407, Train Accuracy: 30.04, Validation Loss: 0.9336, Validation Accuracy: 16.43%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.3-2 , Train Loss: 0.0502, Train Accuracy: 47.94, Validation Loss: 0.6200, Validation Accuracy: 52.80%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.5-2 , Train Loss: 0.1499, Train Accuracy: 45.98, Validation Loss: 0.6385, Validation Accuracy: 51.16%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.7-2 , Train Loss: 0.1025, Train Accuracy: 41.27, Validation Loss: 0.6937, Validation Accuracy: 45.67%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.8-2 , Train Loss: 0.2512, Train Accuracy: 38.86, Validation Loss: 0.7180, Validation Accuracy: 44.13%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.9-2 , Train Loss: 0.7966, Train Accuracy: 35.65, Validation Loss: 0.7841, Validation Accuracy: 36.52%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.95-2 , Train Loss: 0.8302, Train Accuracy: 31.80, Validation Loss: 0.8938, Validation Accuracy: 23.07%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.3-3 , Train Loss: 0.0517, Train Accuracy: 47.65, Validation Loss: 0.6993, Validation Accuracy: 46.61%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.5-3 , Train Loss: 0.1463, Train Accuracy: 44.98, Validation Loss: 0.7548, Validation Accuracy: 41.49%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.7-3 , Train Loss: 0.1009, Train Accuracy: 42.47, Validation Loss: 0.7275, Validation Accuracy: 43.07%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.8-3 , Train Loss: 0.2617, Train Accuracy: 39.05, Validation Loss: 0.7532, Validation Accuracy: 38.97%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.9-3 , Train Loss: 0.8025, Train Accuracy: 35.61, Validation Loss: 0.7845, Validation Accuracy: 37.68%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-random-0.95-3 , Train Loss: 0.8574, Train Accuracy: 27.84, Validation Loss: 0.9485, Validation Accuracy: 15.29%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.3-3 , Train Loss: 0.0503, Train Accuracy: 47.96, Validation Loss: 0.6204, Validation Accuracy: 53.22%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.5-3 , Train Loss: 0.1477, Train Accuracy: 45.65, Validation Loss: 0.7386, Validation Accuracy: 42.98%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.7-3 , Train Loss: 0.1008, Train Accuracy: 42.59, Validation Loss: 0.8581, Validation Accuracy: 30.64%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.8-3 , Train Loss: 0.2563, Train Accuracy: 39.72, Validation Loss: 0.7275, Validation Accuracy: 42.83%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.9-3 , Train Loss: 0.7945, Train Accuracy: 36.90, Validation Loss: 0.8734, Validation Accuracy: 26.33%
MODEL:resnet18-EvidenceLoss-CIFAR10-EUDISTANCE-balanced_by_score-0.95-3 , Train Loss: 0.8338, Train Accuracy: 31.60, Validation Loss: 0.9174, Validation Accuracy: 20.24%
MODEL:resnet18_MNIST_E1_1 , Train Loss: 0.0025, Train Accuracy: 95.99, Validation Loss: 0.0885, Validation Accuracy: 95.42%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.3-1 , Train Loss: 0.0056, Train Accuracy: 95.01, Validation Loss: 0.0667, Validation Accuracy: 97.03%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.5-1 , Train Loss: 0.0114, Train Accuracy: 94.24, Validation Loss: 0.0718, Validation Accuracy: 97.21%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.7-1 , Train Loss: 0.0313, Train Accuracy: 93.11, Validation Loss: 0.1114, Validation Accuracy: 94.75%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.8-1 , Train Loss: 0.0572, Train Accuracy: 92.07, Validation Loss: 0.1064, Validation Accuracy: 95.75%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.9-1 , Train Loss: 0.2880, Train Accuracy: 88.25, Validation Loss: 0.1700, Validation Accuracy: 92.92%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-random-0.95-1 , Train Loss: 0.3957, Train Accuracy: 83.20, Validation Loss: 0.2281, Validation Accuracy: 90.59%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.3-1 , Train Loss: 0.0064, Train Accuracy: 95.17, Validation Loss: 0.0542, Validation Accuracy: 97.92%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.5-1 , Train Loss: 0.0104, Train Accuracy: 94.24, Validation Loss: 0.0674, Validation Accuracy: 97.27%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.7-1 , Train Loss: 0.0300, Train Accuracy: 92.84, Validation Loss: 0.0873, Validation Accuracy: 96.64%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.8-1 , Train Loss: 0.0569, Train Accuracy: 92.11, Validation Loss: 0.1108, Validation Accuracy: 95.26%
MODEL:resnet18-EvidenceLoss-MNIST-EUDISTANCE-balanced_by_score-0.9-1 , Train Loss: 0.2926, Train Accuracy: 87.29, Validation Loss: 0.1460, Validation Accuracy: 94.34%
