Model,Average Train Loss,Average Train Accuracy,Average Validation Loss,Average Validation Accuracy
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.3,0.0057666666666666665,95.00666666666666,0.0771,96.22666666666667
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.5,0.011000000000000001,94.46,0.07096666666666666,96.76
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.7,0.028200000000000003,93.25,0.07966666666666666,96.39999999999999
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.8,0.0521,91.84666666666668,0.13093333333333332,92.99333333333334
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.9,0.2438,89.14,0.1312,94.04333333333334
resnet18-EvidenceLoss-MNIST-evidence_total-balanced_by_score-0.95,0.33053333333333335,84.71,0.24013333333333334,86.84666666666665
resnet18-MNIST-uncertainty_label-balanced_by_score-0,0.0029999999999999996,95.58666666666666,0.08253333333333333,97.36
resnet18-MNIST-uncertainty_label-balanced_by_score-0.3,0.0074333333333333335,94.87666666666667,0.09953333333333332,96.99000000000001
resnet18-MNIST-uncertainty_label-balanced_by_score-0.5,0.0151,93.90666666666668,0.13783333333333334,95.67
resnet18-MNIST-uncertainty_label-balanced_by_score-0.7,0.041699999999999994,92.54666666666667,0.17133333333333334,94.55666666666667
resnet18-MNIST-uncertainty_label-balanced_by_score-0.8,0.08196666666666667,90.81333333333333,0.22319999999999998,93.04666666666667
resnet18-MNIST-uncertainty_label-balanced_by_score-0.9,0.34359999999999996,87.75666666666666,0.4204666666666667,87.90666666666668
resnet18-MNIST-uncertainty_label-balanced_by_score-0.95,0.46279999999999993,82.16666666666667,0.5084666666666666,86.17666666666666
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0,0.002533333333333333,95.82333333333334,0.06363333333333333,97.03000000000002
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.3,0.005866666666666667,95.17333333333333,0.06430000000000001,97.06333333333333
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.5,0.010666666666666666,94.59333333333335,0.06693333333333333,97.00666666666666
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.7,0.028266666666666666,93.05333333333333,0.08716666666666667,95.95
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.8,0.0545,91.53000000000002,0.1249,93.74000000000001
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.9,0.24553333333333335,88.95,0.16063333333333332,91.80666666666667
resnet18-EvidenceLoss-MNIST-uncertainty_label-balanced_by_score-0.95,0.33253333333333335,84.89999999999999,0.24349999999999997,87.23666666666668
resnet18-MNIST-uncertainty_total-balanced_by_score-0,0.0029999999999999996,95.63,0.06573333333333334,97.89999999999999
resnet18-MNIST-uncertainty_total-balanced_by_score-0.3,0.007933333333333334,94.80666666666667,0.08036666666666667,97.58333333333333
resnet18-MNIST-uncertainty_total-balanced_by_score-0.5,0.016266666666666665,94.06666666666666,0.09813333333333334,96.92
resnet18-MNIST-uncertainty_total-balanced_by_score-0.7,0.045500000000000006,92.44,0.1027,96.73
resnet18-MNIST-uncertainty_total-balanced_by_score-0.8,0.0847,90.60000000000001,0.19343333333333335,93.92333333333333
resnet18-MNIST-uncertainty_total-balanced_by_score-0.9,0.3445666666666667,87.51666666666667,0.30283333333333334,90.77
resnet18-MNIST-uncertainty_total-balanced_by_score-0.95,0.4713,81.98,0.7313666666666667,80.03333333333335
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0,0.0024,95.89333333333333,0.0617,97.02999999999999
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.3,0.0058,95.07666666666667,0.05296666666666666,97.75333333333333
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.5,0.010633333333333333,94.44333333333334,0.08166666666666667,96.05
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.7,0.02576666666666667,93.30666666666667,0.09483333333333333,95.3
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.8,0.053766666666666664,91.80333333333333,0.12863333333333332,93.34666666666668
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.9,0.24893333333333334,88.56333333333333,0.18330000000000002,90.56666666666666
resnet18-EvidenceLoss-MNIST-uncertainty_total-balanced_by_score-0.95,0.33093333333333336,84.67666666666666,0.23076666666666668,88.06333333333333
