MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.3-3 , Train Loss: 0.0641, Train Accuracy: 98.14, Validation Loss: 0.7388, Validation Accuracy: 97.59%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.5-3 , Train Loss: 0.1084, Train Accuracy: 98.02, Validation Loss: 0.7364, Validation Accuracy: 98.26%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.7-3 , Train Loss: 0.2143, Train Accuracy: 98.03, Validation Loss: 0.7384, Validation Accuracy: 97.75%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.8-3 , Train Loss: 0.3416, Train Accuracy: 98.01, Validation Loss: 0.7432, Validation Accuracy: 96.83%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.9-3 , Train Loss: 0.7426, Train Accuracy: 97.10, Validation Loss: 0.7448, Validation Accuracy: 96.55%
MODEL:resnet18-EvidenceLoss-MNIST-BELIEF-balanced_by_score-0.95-3 , Train Loss: 0.7423, Train Accuracy: 97.57, Validation Loss: 0.7543, Validation Accuracy: 94.57%
MODEL:resnet18-MNIST-random-0.3-1 , Train Loss: 0.0042, Train Accuracy: 98.63, Validation Loss: 0.0438, Validation Accuracy: 98.54%
MODEL:resnet18-MNIST-random-0.5-1 , Train Loss: 0.0089, Train Accuracy: 98.65, Validation Loss: 0.0528, Validation Accuracy: 98.50%
MODEL:resnet18-MNIST-random-0.7-1 , Train Loss: 0.0163, Train Accuracy: 98.26, Validation Loss: 0.0655, Validation Accuracy: 98.01%
MODEL:resnet18-MNIST-random-0.8-1 , Train Loss: 0.0218, Train Accuracy: 98.72, Validation Loss: 0.0802, Validation Accuracy: 97.61%
MODEL:resnet18-MNIST-random-0.9-1 , Train Loss: 0.0645, Train Accuracy: 98.00, Validation Loss: 0.1677, Validation Accuracy: 95.02%
MODEL:resnet18-MNIST-random-0.95-1 , Train Loss: 0.0647, Train Accuracy: 97.53, Validation Loss: 0.1559, Validation Accuracy: 95.49%
MODEL:resnet18-MNIST-random-0.3-2 , Train Loss: 0.0029, Train Accuracy: 98.72, Validation Loss: 0.0388, Validation Accuracy: 98.74%
MODEL:resnet18-MNIST-random-0.5-2 , Train Loss: 0.0061, Train Accuracy: 98.63, Validation Loss: 0.1830, Validation Accuracy: 94.68%
MODEL:resnet18-MNIST-random-0.7-2 , Train Loss: 0.0183, Train Accuracy: 98.31, Validation Loss: 0.0546, Validation Accuracy: 98.30%
MODEL:resnet18-MNIST-random-0.8-2 , Train Loss: 0.0208, Train Accuracy: 98.38, Validation Loss: 0.1040, Validation Accuracy: 96.84%
MODEL:resnet18-MNIST-random-0.9-2 , Train Loss: 0.0827, Train Accuracy: 97.17, Validation Loss: 0.1592, Validation Accuracy: 95.30%
MODEL:resnet18-MNIST-random-0.95-2 , Train Loss: 0.0808, Train Accuracy: 97.47, Validation Loss: 0.2137, Validation Accuracy: 93.89%
MODEL:resnet18-MNIST-random-0.3-3 , Train Loss: 0.0035, Train Accuracy: 98.60, Validation Loss: 0.0431, Validation Accuracy: 98.68%
MODEL:resnet18-MNIST-random-0.5-3 , Train Loss: 0.0055, Train Accuracy: 98.61, Validation Loss: 0.0558, Validation Accuracy: 98.34%
MODEL:resnet18-MNIST-random-0.7-3 , Train Loss: 0.0133, Train Accuracy: 98.53, Validation Loss: 0.0598, Validation Accuracy: 98.08%
MODEL:resnet18-MNIST-random-0.8-3 , Train Loss: 0.0393, Train Accuracy: 97.97, Validation Loss: 0.0998, Validation Accuracy: 97.07%
MODEL:resnet18-MNIST-random-0.9-3 , Train Loss: 0.0697, Train Accuracy: 97.78, Validation Loss: 0.2236, Validation Accuracy: 94.05%
MODEL:resnet18-MNIST-random-0.95-3 , Train Loss: 0.0647, Train Accuracy: 97.70, Validation Loss: 0.1933, Validation Accuracy: 94.59%
MODEL:resnet18_CIFAR10_E1_1 , Train Loss: 0.0890, Train Accuracy: 71.53, Validation Loss: 0.8825, Validation Accuracy: 62.96%
