MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95 , Train Loss: 0.4686, Train Accuracy: 82.03, Validation Loss: 0.6034, Validation Accuracy: 83.09%

MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0 , Train Loss: 0.0020, Train Accuracy: 95.83, Validation Loss: 0.0464, Validation Accuracy: 98.12%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.3 , Train Loss: 0.0068, Train Accuracy: 95.14, Validation Loss: 0.0522, Validation Accuracy: 97.85%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.5 , Train Loss: 0.0095, Train Accuracy: 94.55, Validation Loss: 0.0955, Validation Accuracy: 95.02%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.7 , Train Loss: 0.0251, Train Accuracy: 93.37, Validation Loss: 0.0938, Validation Accuracy: 95.30%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.8 , Train Loss: 0.0517, Train Accuracy: 91.98, Validation Loss: 0.0784, Validation Accuracy: 96.74%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.9 , Train Loss: 0.2452, Train Accuracy: 88.49, Validation Loss: 0.3917, Validation Accuracy: 74.31%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.95 , Train Loss: 0.3324, Train Accuracy: 84.80, Validation Loss: 0.2129, Validation Accuracy: 89.45%

MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0 , Train Loss: 0.0023, Train Accuracy: 95.77, Validation Loss: 0.0640, Validation Accuracy: 96.95%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.3 , Train Loss: 0.0060, Train Accuracy: 95.05, Validation Loss: 0.0776, Validation Accuracy: 96.13%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.5 , Train Loss: 0.0105, Train Accuracy: 94.40, Validation Loss: 0.0996, Validation Accuracy: 94.69%
MODEL:resnet18-EvidenceLoss-MNIST-evidence_label-balanced_by_score-0.7 , Train Loss: 0.0271, Train Accuracy: 92.86, Validation Loss: 0.0909, Validation Accuracy: 95.46%
