TODO: make function type for MODEL (input: dataset,file?): configuration for dataset and load from file(SEARCH:how do both????),
 make function type for DATASET: transform for model (input: model)
 make repeater, improve log
TODO: improve initiates; split initiate_model_dataset
        Improve trainer_standard; display epochs, implement epoch limit?
MODEL:resnet18_MNIST_randCond_0.3 , Train Loss: 0.0061, Train Accuracy: 98.06, Validation Loss: 0.0680, Validation Accuracy: 97.84%
MODEL:resnet18_MNIST_randCond_0.5 , Train Loss: 0.0112, Train Accuracy: 97.52, Validation Loss: 0.0743, Validation Accuracy: 97.85%
MODEL:resnet18_MNIST_randCond_0.7 , Train Loss: 0.0260, Train Accuracy: 97.20, Validation Loss: 0.0912, Validation Accuracy: 97.08%
MODEL:resnet18_MNIST_randCond_0.8 , Train Loss: 0.0485, Train Accuracy: 96.63, Validation Loss: 0.0816, Validation Accuracy: 97.61%
MODEL:resnet18_MNIST_randCond_0.9 , Train Loss: 0.1372, Train Accuracy: 95.65, Validation Loss: 0.1062, Validation Accuracy: 96.75%
MODEL:resnet18_MNIST_randCond_0.95 , Train Loss: 0.1774, Train Accuracy: 94.37, Validation Loss: 0.3160, Validation Accuracy: 90.24%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0 , Train Loss: 0.0020, Train Accuracy: 98.22, Validation Loss: 0.0528, Validation Accuracy: 98.30%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.3 , Train Loss: 0.0065, Train Accuracy: 97.50, Validation Loss: 0.0586, Validation Accuracy: 98.14%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.5 , Train Loss: 0.0153, Train Accuracy: 96.61, Validation Loss: 0.0561, Validation Accuracy: 98.14%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.7 , Train Loss: 0.0505, Train Accuracy: 94.64, Validation Loss: 0.0850, Validation Accuracy: 97.32%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.8 , Train Loss: 0.1075, Train Accuracy: 91.87, Validation Loss: 0.1167, Validation Accuracy: 96.00%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.9 , Train Loss: 0.4230, Train Accuracy: 85.20, Validation Loss: 0.1865, Validation Accuracy: 93.85%
MODEL:resnet18_MNIST_softMaxCondPE_equal_0.95 , Train Loss: 0.6296, Train Accuracy: 76.70, Validation Loss: 0.4648, Validation Accuracy: 84.16%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0 , Train Loss: 0.0022, Train Accuracy: 98.25, Validation Loss: 0.0590, Validation Accuracy: 98.07%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.3 , Train Loss: 0.0082, Train Accuracy: 97.50, Validation Loss: 0.0478, Validation Accuracy: 98.58%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.5 , Train Loss: 0.0164, Train Accuracy: 96.41, Validation Loss: 0.0497, Validation Accuracy: 98.50%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.7 , Train Loss: 0.0448, Train Accuracy: 94.37, Validation Loss: 0.0455, Validation Accuracy: 98.67%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.8 , Train Loss: 0.1100, Train Accuracy: 92.02, Validation Loss: 0.1258, Validation Accuracy: 96.38%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.9 , Train Loss: 0.3290, Train Accuracy: 88.75, Validation Loss: 0.2000, Validation Accuracy: 93.59%
MODEL:resnet18_MNIST_softMaxCondPE_equal_mostANDleast0.95 , Train Loss: 0.4218, Train Accuracy: 85.63, Validation Loss: 0.4266, Validation Accuracy: 85.87%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0 , Train Loss: 0.0024, Train Accuracy: 98.27, Validation Loss: 0.0646, Validation Accuracy: 97.90%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0 , Train Loss: 0.0019, Train Accuracy: 98.26, Validation Loss: 0.0362, Validation Accuracy: 98.72%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0 , Train Loss: 0.0025, Train Accuracy: 98.29, Validation Loss: 0.0480, Validation Accuracy: 98.49%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0 , Train Loss: 0.0013, Train Accuracy: 98.22, Validation Loss: 0.0423, Validation Accuracy: 98.79%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.3 , Train Loss: 0.0039, Train Accuracy: 97.95, Validation Loss: 0.0684, Validation Accuracy: 97.78%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.5 , Train Loss: 0.0124, Train Accuracy: 97.69, Validation Loss: 0.0943, Validation Accuracy: 97.29%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.7 , Train Loss: 0.0251, Train Accuracy: 97.27, Validation Loss: 0.0780, Validation Accuracy: 97.58%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.8 , Train Loss: 0.0492, Train Accuracy: 96.71, Validation Loss: 0.1039, Validation Accuracy: 96.87%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.9 , Train Loss: 0.1141, Train Accuracy: 96.53, Validation Loss: 0.1470, Validation Accuracy: 95.45%
MODEL:resnet18_MNIST_softMaxCondPE_CCS0.95 , Train Loss: 0.1423, Train Accuracy: 95.07, Validation Loss: 0.2445, Validation Accuracy: 92.40%
