MODEL:resnet18-CIFAR10-EVIDENCE-balanced_by_score1-0.95-1 , Train Loss: 0.0992, Train Accuracy: 96.75, Validation Loss: 3.1077, Validation Accuracy: 42.18%

MODEL:resnet18_CIFAR10_E1_2 , Train Loss: 0.1011, Train Accuracy: 75.95, Validation Loss: 0.9671, Validation Accuracy: 67.91%
MODEL:resnet18-CIFAR10-random-0.3-2 , Train Loss: 0.0098, Train Accuracy: 96.05, Validation Loss: 1.1876, Validation Accuracy: 72.43%
MODEL:resnet18-CIFAR10-random-0.5-2 , Train Loss: 0.0294, Train Accuracy: 96.19, Validation Loss: 1.4841, Validation Accuracy: 67.98%
MODEL:resnet18-CIFAR10-random-0.7-2 , Train Loss: 0.0193, Train Accuracy: 96.52, Validation Loss: 1.6429, Validation Accuracy: 66.81%
MODEL:resnet18-CIFAR10-random-0.8-2 , Train Loss: 0.0422, Train Accuracy: 96.18, Validation Loss: 1.9492, Validation Accuracy: 60.83%
MODEL:resnet18-CIFAR10-random-0.9-2 , Train Loss: 0.1375, Train Accuracy: 95.57, Validation Loss: 2.2987, Validation Accuracy: 50.58%
MODEL:resnet18-CIFAR10-random-0.95-2 , Train Loss: 0.1698, Train Accuracy: 93.83, Validation Loss: 2.8131, Validation Accuracy: 43.93%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.3-2 , Train Loss: 0.0116, Train Accuracy: 95.70, Validation Loss: 1.1872, Validation Accuracy: 71.68%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.5-2 , Train Loss: 0.0347, Train Accuracy: 95.37, Validation Loss: 1.7067, Validation Accuracy: 62.29%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.7-2 , Train Loss: 0.0190, Train Accuracy: 95.33, Validation Loss: 2.1243, Validation Accuracy: 55.04%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.8-2 , Train Loss: 0.0535, Train Accuracy: 95.10, Validation Loss: 2.6294, Validation Accuracy: 47.02%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.9-2 , Train Loss: 0.1438, Train Accuracy: 95.07, Validation Loss: 3.8209, Validation Accuracy: 32.33%
MODEL:resnet18-CIFAR10-EVIDENCE-top-0.95-2 , Train Loss: 0.0618, Train Accuracy: 97.68, Validation Loss: 4.9769, Validation Accuracy: 23.54%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.3-2 , Train Loss: 0.0111, Train Accuracy: 96.43, Validation Loss: 1.2664, Validation Accuracy: 69.31%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.5-2 , Train Loss: 0.0264, Train Accuracy: 96.59, Validation Loss: 1.7725, Validation Accuracy: 62.64%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.7-2 , Train Loss: 0.0140, Train Accuracy: 97.00, Validation Loss: 2.2303, Validation Accuracy: 54.82%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.8-2 , Train Loss: 0.0419, Train Accuracy: 97.11, Validation Loss: 2.8351, Validation Accuracy: 49.84%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.9-2 , Train Loss: 0.1116, Train Accuracy: 96.17, Validation Loss: 3.6944, Validation Accuracy: 38.18%
MODEL:resnet18-CIFAR10-EVIDENCE-bottom-0.95-2 , Train Loss: 0.1166, Train Accuracy: 95.83, Validation Loss: 4.9183, Validation Accuracy: 30.48%
