MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.95-1 , Train Loss: 0.1084, Train Accuracy: 95.75, Validation Loss: 3.1047, Validation Accuracy: 42.51%

MODEL:resnet18_CIFAR10_2 , Train Loss: 0.0155, Train Accuracy: 95.76, Validation Loss: 1.0761, Validation Accuracy: 75.18%
MODEL:resnet18-CIFAR10-random-0.3-2 , Train Loss: 0.0118, Train Accuracy: 96.07, Validation Loss: 1.1899, Validation Accuracy: 72.06%
MODEL:resnet18-CIFAR10-random-0.5-2 , Train Loss: 0.0310, Train Accuracy: 95.92, Validation Loss: 1.4287, Validation Accuracy: 68.79%
MODEL:resnet18-CIFAR10-random-0.7-2 , Train Loss: 0.0195, Train Accuracy: 96.03, Validation Loss: 1.5684, Validation Accuracy: 65.54%
MODEL:resnet18-CIFAR10-random-0.8-2 , Train Loss: 0.0455, Train Accuracy: 95.85, Validation Loss: 2.0465, Validation Accuracy: 58.02%
MODEL:resnet18-CIFAR10-random-0.9-2 , Train Loss: 0.1172, Train Accuracy: 96.03, Validation Loss: 2.3423, Validation Accuracy: 51.69%
MODEL:resnet18-CIFAR10-random-0.95-2 , Train Loss: 0.1116, Train Accuracy: 96.27, Validation Loss: 2.7608, Validation Accuracy: 44.94%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.3-2 , Train Loss: 0.0143, Train Accuracy: 95.34, Validation Loss: 1.4620, Validation Accuracy: 67.53%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.5-2 , Train Loss: 0.0393, Train Accuracy: 94.66, Validation Loss: 1.4054, Validation Accuracy: 67.19%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.7-2 , Train Loss: 0.0279, Train Accuracy: 94.02, Validation Loss: 2.6664, Validation Accuracy: 48.72%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.8-2 , Train Loss: 0.0589, Train Accuracy: 95.15, Validation Loss: 3.0636, Validation Accuracy: 43.86%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.9-2 , Train Loss: 0.1592, Train Accuracy: 94.69, Validation Loss: 4.3139, Validation Accuracy: 29.79%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.95-2 , Train Loss: 0.1179, Train Accuracy: 96.15, Validation Loss: 4.9465, Validation Accuracy: 23.51%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.3-2 , Train Loss: 0.0075, Train Accuracy: 97.20, Validation Loss: 1.4562, Validation Accuracy: 69.32%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.5-2 , Train Loss: 0.0189, Train Accuracy: 97.71, Validation Loss: 1.6762, Validation Accuracy: 64.31%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.7-2 , Train Loss: 0.0081, Train Accuracy: 98.54, Validation Loss: 2.0858, Validation Accuracy: 59.26%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.8-2 , Train Loss: 0.0191, Train Accuracy: 98.51, Validation Loss: 2.1681, Validation Accuracy: 56.16%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.9-2 , Train Loss: 0.0366, Train Accuracy: 98.70, Validation Loss: 2.9396, Validation Accuracy: 47.15%
MODEL:resnet18-CIFAR10-predictive_entropy-bottom-0.95-2 , Train Loss: 0.0381, Train Accuracy: 98.56, Validation Loss: 3.6068, Validation Accuracy: 40.02%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.3-2 , Train Loss: 0.0119, Train Accuracy: 95.64, Validation Loss: 1.2752, Validation Accuracy: 71.34%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.5-2 , Train Loss: 0.0308, Train Accuracy: 95.75, Validation Loss: 1.4305, Validation Accuracy: 67.69%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.7-2 , Train Loss: 0.0214, Train Accuracy: 96.01, Validation Loss: 1.6573, Validation Accuracy: 64.05%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.8-2 , Train Loss: 0.0374, Train Accuracy: 95.76, Validation Loss: 2.0890, Validation Accuracy: 57.30%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.9-2 , Train Loss: 0.1549, Train Accuracy: 94.61, Validation Loss: 2.4117, Validation Accuracy: 49.15%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_label-0.95-2 , Train Loss: 0.1063, Train Accuracy: 96.59, Validation Loss: 2.9107, Validation Accuracy: 42.56%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.3-2 , Train Loss: 0.0113, Train Accuracy: 96.13, Validation Loss: 1.3607, Validation Accuracy: 70.41%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.5-2 , Train Loss: 0.0252, Train Accuracy: 96.32, Validation Loss: 1.2871, Validation Accuracy: 72.06%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.7-2 , Train Loss: 0.0196, Train Accuracy: 96.47, Validation Loss: 1.6005, Validation Accuracy: 67.31%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.8-2 , Train Loss: 0.0508, Train Accuracy: 95.79, Validation Loss: 1.9625, Validation Accuracy: 59.42%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.9-2 , Train Loss: 0.1081, Train Accuracy: 96.23, Validation Loss: 2.3496, Validation Accuracy: 53.57%
MODEL:resnet18-CIFAR10-predictive_entropy-median-0.95-2 , Train Loss: 0.1029, Train Accuracy: 96.23, Validation Loss: 3.0451, Validation Accuracy: 44.50%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.3-2 , Train Loss: 0.0107, Train Accuracy: 95.79, Validation Loss: 1.2020, Validation Accuracy: 72.25%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.5-2 , Train Loss: 0.0337, Train Accuracy: 96.03, Validation Loss: 1.3995, Validation Accuracy: 68.68%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.7-2 , Train Loss: 0.0199, Train Accuracy: 96.13, Validation Loss: 1.7302, Validation Accuracy: 62.96%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.8-2 , Train Loss: 0.0521, Train Accuracy: 95.71, Validation Loss: 1.8007, Validation Accuracy: 60.86%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.9-2 , Train Loss: 0.1220, Train Accuracy: 95.93, Validation Loss: 2.4090, Validation Accuracy: 48.92%
MODEL:resnet18-CIFAR10-predictive_entropy-balanced_by_score1-0.95-2 , Train Loss: 0.1177, Train Accuracy: 96.23, Validation Loss: 2.5176, Validation Accuracy: 45.75%

MODEL:resnet18_CIFAR10_3 , Train Loss: 0.0179, Train Accuracy: 95.66, Validation Loss: 1.0447, Validation Accuracy: 73.76%
MODEL:resnet18-CIFAR10-random-0.3-3 , Train Loss: 0.0103, Train Accuracy: 95.83, Validation Loss: 1.2367, Validation Accuracy: 71.39%
MODEL:resnet18-CIFAR10-random-0.5-3 , Train Loss: 0.0337, Train Accuracy: 95.97, Validation Loss: 1.4122, Validation Accuracy: 68.06%
MODEL:resnet18-CIFAR10-random-0.7-3 , Train Loss: 0.0204, Train Accuracy: 95.50, Validation Loss: 1.7350, Validation Accuracy: 63.13%
MODEL:resnet18-CIFAR10-random-0.8-3 , Train Loss: 0.0393, Train Accuracy: 96.86, Validation Loss: 2.0660, Validation Accuracy: 59.41%
MODEL:resnet18-CIFAR10-random-0.9-3 , Train Loss: 0.0921, Train Accuracy: 96.59, Validation Loss: 2.2471, Validation Accuracy: 52.83%
MODEL:resnet18-CIFAR10-random-0.95-3 , Train Loss: 0.1555, Train Accuracy: 94.15, Validation Loss: 3.1138, Validation Accuracy: 40.76%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.3-3 , Train Loss: 0.0134, Train Accuracy: 94.94, Validation Loss: 1.1603, Validation Accuracy: 72.03%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.5-3 , Train Loss: 0.0413, Train Accuracy: 94.82, Validation Loss: 1.6211, Validation Accuracy: 63.05%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.7-3 , Train Loss: 0.0295, Train Accuracy: 94.32, Validation Loss: 2.7316, Validation Accuracy: 47.99%
MODEL:resnet18-CIFAR10-predictive_entropy-top-0.8-3 , Train Loss: 0.0662, Train Accuracy: 94.64, Validation Loss: 3.3990, Validation Accuracy: 40.53%
