MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-1 , Train Loss: 0.0089, Train Accuracy: 94.80, Validation Loss: 0.0652, Validation Accuracy: 97.90%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-1 , Train Loss: 0.0169, Train Accuracy: 93.92, Validation Loss: 0.0702, Validation Accuracy: 97.81%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-1 , Train Loss: 0.0387, Train Accuracy: 92.49, Validation Loss: 0.1306, Validation Accuracy: 95.86%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-1 , Train Loss: 0.0746, Train Accuracy: 91.03, Validation Loss: 0.1878, Validation Accuracy: 94.23%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.9-1 , Train Loss: 0.3523, Train Accuracy: 87.48, Validation Loss: 0.4400, Validation Accuracy: 86.98%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.95-1 , Train Loss: 0.4550, Train Accuracy: 82.07, Validation Loss: 0.4425, Validation Accuracy: 86.05%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.3-1 , Train Loss: 0.1713, Train Accuracy: 83.55, Validation Loss: 0.1638, Validation Accuracy: 95.25%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.5-1 , Train Loss: 0.1522, Train Accuracy: 82.10, Validation Loss: 0.2690, Validation Accuracy: 91.49%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.7-1 , Train Loss: 0.0950, Train Accuracy: 78.34, Validation Loss: 0.3560, Validation Accuracy: 88.15%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.8-1 , Train Loss: 0.0000, Train Accuracy: 76.56, Validation Loss: 0.5794, Validation Accuracy: 82.51%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.9-1 , Train Loss: 0.8908, Train Accuracy: 68.42, Validation Loss: 0.9298, Validation Accuracy: 71.46%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.95-1 , Train Loss: 1.0781, Train Accuracy: 60.80, Validation Loss: 1.5706, Validation Accuracy: 54.72%
MODEL:resnet18_MNIST_2 , Train Loss: 0.0037, Train Accuracy: 95.56, Validation Loss: 0.0835, Validation Accuracy: 97.35%
MODEL:resnet18-MNIST-random-0.3-2 , Train Loss: 0.0096, Train Accuracy: 94.69, Validation Loss: 0.0744, Validation Accuracy: 97.58%
MODEL:resnet18-MNIST-random-0.5-2 , Train Loss: 0.0168, Train Accuracy: 94.12, Validation Loss: 0.0816, Validation Accuracy: 97.28%
MODEL:resnet18-MNIST-random-0.7-2 , Train Loss: 0.0446, Train Accuracy: 92.41, Validation Loss: 0.2120, Validation Accuracy: 93.57%
MODEL:resnet18-MNIST-random-0.8-2 , Train Loss: 0.0783, Train Accuracy: 91.00, Validation Loss: 0.2154, Validation Accuracy: 93.52%
MODEL:resnet18-MNIST-random-0.9-2 , Train Loss: 0.3325, Train Accuracy: 88.49, Validation Loss: 0.2644, Validation Accuracy: 91.40%
MODEL:resnet18-MNIST-random-0.95-2 , Train Loss: 0.4736, Train Accuracy: 82.07, Validation Loss: 0.4078, Validation Accuracy: 86.63%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.3-2 , Train Loss: 0.0075, Train Accuracy: 94.78, Validation Loss: 0.0709, Validation Accuracy: 97.65%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.5-2 , Train Loss: 0.0157, Train Accuracy: 94.15, Validation Loss: 0.0915, Validation Accuracy: 97.11%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.7-2 , Train Loss: 0.0425, Train Accuracy: 92.60, Validation Loss: 0.1239, Validation Accuracy: 95.82%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.8-2 , Train Loss: 0.0825, Train Accuracy: 90.80, Validation Loss: 0.1416, Validation Accuracy: 95.88%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.9-2 , Train Loss: 0.3523, Train Accuracy: 87.43, Validation Loss: 0.4173, Validation Accuracy: 87.87%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score-0.95-2 , Train Loss: 0.4279, Train Accuracy: 81.93, Validation Loss: 0.4732, Validation Accuracy: 85.90%
MODEL:resnet18-MNIST-predictive_entropy-top-0.3-2 , Train Loss: 0.0091, Train Accuracy: 93.80, Validation Loss: 0.0734, Validation Accuracy: 97.70%
MODEL:resnet18-MNIST-predictive_entropy-top-0.5-2 , Train Loss: 0.0246, Train Accuracy: 91.39, Validation Loss: 0.0957, Validation Accuracy: 96.92%
MODEL:resnet18-MNIST-predictive_entropy-top-0.7-2 , Train Loss: 0.0787, Train Accuracy: 86.18, Validation Loss: 0.1402, Validation Accuracy: 95.52%
MODEL:resnet18-MNIST-predictive_entropy-top-0.8-2 , Train Loss: 0.1903, Train Accuracy: 81.78, Validation Loss: 0.2609, Validation Accuracy: 91.25%
MODEL:resnet18-MNIST-predictive_entropy-top-0.9-2 , Train Loss: 0.7599, Train Accuracy: 73.34, Validation Loss: 0.7137, Validation Accuracy: 80.22%
MODEL:resnet18-MNIST-predictive_entropy-top-0.95-2 , Train Loss: 1.0192, Train Accuracy: 64.50, Validation Loss: 1.6291, Validation Accuracy: 53.06%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.3-2 , Train Loss: 0.0032, Train Accuracy: 98.13, Validation Loss: 0.2735, Validation Accuracy: 93.63%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.5-2 , Train Loss: 0.0023, Train Accuracy: 98.38, Validation Loss: 0.3835, Validation Accuracy: 91.17%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.7-2 , Train Loss: 0.0031, Train Accuracy: 98.44, Validation Loss: 0.4537, Validation Accuracy: 88.42%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.8-2 , Train Loss: 0.0046, Train Accuracy: 98.23, Validation Loss: 1.5409, Validation Accuracy: 76.79%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.9-2 , Train Loss: 0.0363, Train Accuracy: 98.08, Validation Loss: 2.7466, Validation Accuracy: 44.26%
MODEL:resnet18-MNIST-predictive_entropy-bottom-0.95-2 , Train Loss: 0.0222, Train Accuracy: 97.45, Validation Loss: 5.9591, Validation Accuracy: 19.99%
MODEL:resnet18-MNIST-predictive_entropy-median-0.3-2 , Train Loss: 0.0044, Train Accuracy: 97.06, Validation Loss: 0.0902, Validation Accuracy: 97.35%
MODEL:resnet18-MNIST-predictive_entropy-median-0.5-2 , Train Loss: 0.0048, Train Accuracy: 97.10, Validation Loss: 0.1692, Validation Accuracy: 95.32%
MODEL:resnet18-MNIST-predictive_entropy-median-0.7-2 , Train Loss: 0.0116, Train Accuracy: 96.49, Validation Loss: 0.2161, Validation Accuracy: 94.16%
MODEL:resnet18-MNIST-predictive_entropy-median-0.8-2 , Train Loss: 0.0305, Train Accuracy: 95.60, Validation Loss: 0.2086, Validation Accuracy: 94.43%
MODEL:resnet18-MNIST-predictive_entropy-median-0.9-2 , Train Loss: 0.1934, Train Accuracy: 91.97, Validation Loss: 0.2854, Validation Accuracy: 92.59%
MODEL:resnet18-MNIST-predictive_entropy-median-0.95-2 , Train Loss: 0.2786, Train Accuracy: 87.84, Validation Loss: 0.5751, Validation Accuracy: 84.50%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-2 , Train Loss: 0.0076, Train Accuracy: 94.67, Validation Loss: 0.0915, Validation Accuracy: 97.27%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-2 , Train Loss: 0.0163, Train Accuracy: 94.13, Validation Loss: 0.0731, Validation Accuracy: 97.77%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-2 , Train Loss: 0.0448, Train Accuracy: 92.40, Validation Loss: 0.0953, Validation Accuracy: 96.83%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-2 , Train Loss: 0.0811, Train Accuracy: 91.30, Validation Loss: 0.1409, Validation Accuracy: 95.51%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.9-2 , Train Loss: 0.3403, Train Accuracy: 88.01, Validation Loss: 0.2050, Validation Accuracy: 93.89%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.95-2 , Train Loss: 0.4552, Train Accuracy: 82.40, Validation Loss: 0.5012, Validation Accuracy: 85.86%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.3-2 , Train Loss: 0.0083, Train Accuracy: 95.00, Validation Loss: 0.0842, Validation Accuracy: 97.40%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.5-2 , Train Loss: 0.0148, Train Accuracy: 94.17, Validation Loss: 0.1172, Validation Accuracy: 96.36%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.7-2 , Train Loss: 0.0390, Train Accuracy: 93.03, Validation Loss: 0.1031, Validation Accuracy: 96.92%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.8-2 , Train Loss: 0.0823, Train Accuracy: 90.60, Validation Loss: 0.1826, Validation Accuracy: 94.03%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.9-2 , Train Loss: 0.3279, Train Accuracy: 88.06, Validation Loss: 0.2181, Validation Accuracy: 93.79%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_score1-0.95-2 , Train Loss: 0.4650, Train Accuracy: 82.17, Validation Loss: 0.3774, Validation Accuracy: 88.38%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.3-2 , Train Loss: 0.1707, Train Accuracy: 80.74, Validation Loss: 0.1524, Validation Accuracy: 95.16%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.5-2 , Train Loss: 0.1537, Train Accuracy: 78.12, Validation Loss: 0.2131, Validation Accuracy: 92.75%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.7-2 , Train Loss: 0.0881, Train Accuracy: 76.19, Validation Loss: 0.2900, Validation Accuracy: 90.89%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.8-2 , Train Loss: 0.7694, Train Accuracy: 73.73, Validation Loss: 0.4046, Validation Accuracy: 86.88%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.9-2 , Train Loss: 0.9297, Train Accuracy: 67.58, Validation Loss: 0.7013, Validation Accuracy: 73.49%
MODEL:resnet18-MNIST-predictive_entropy-balanced_by_range-0.95-2 , Train Loss: 1.0911, Train Accuracy: 60.32, Validation Loss: 1.3657, Validation Accuracy: 52.04%
MODEL:resnet18_MNIST_3 , Train Loss: 0.0027, Train Accuracy: 95.59, Validation Loss: 0.0706, Validation Accuracy: 97.55%
MODEL:resnet18-MNIST-random-0.3-3 , Train Loss: 0.0082, Train Accuracy: 94.79, Validation Loss: 0.0900, Validation Accuracy: 97.33%
MODEL:resnet18-MNIST-random-0.5-3 , Train Loss: 0.0169, Train Accuracy: 94.16, Validation Loss: 0.0980, Validation Accuracy: 97.19%
MODEL:resnet18-MNIST-random-0.7-3 , Train Loss: 0.0379, Train Accuracy: 92.40, Validation Loss: 0.1778, Validation Accuracy: 94.52%
